DESTINATION_COUNTRY,BUYER_ADDRESS,BUYER_NAME,COUNTRY_ISO_CODE_2,CURRENCY,EXPORTER_ADDRESS,EXPORTER_NAME,EXP_DATE,FOB_VALUE,GROSS_WEIGHT,HS_CODE,INCOTERMS,NET_WEIGHT,PACKAGE_UNIT,PRODUCT_DESCRIPTION,QUANTITY_OF_PACKAGE,_id,HS_CODE_DESCRIPTION,initial_id
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,553.3,7,85176243,DDU,6.8,PE,SU 6300M 48G CL4 POE 4SFP56 S,1,07ebb5d8-4b38-48b6-bec4-2f3880d20520,OTHER,1756
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,276.44,0.5,85176243,DDU,0.3,PE,HP 2810 24G SWITCH,1,5fd9c465-1498-4485-8aff-33fabaa7bc1b,OTHER,1757
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,213.61,3.5,85176243,DDU,3.3,PE,SU 6100 24G 4SFP SWCH,1,1430813d-c5f7-42ed-8de3-0e84654a32f5,OTHER,1758
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,156.21,2.6,85176251,DDU,2.4,PE,ARUBA IAP 335 RW INSTANT 4X4,1,5f3f1454-2329-4f5d-8d9b-59013c821eb2,ELPAP11 WIRELESS LAN UNIT,1759
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,294.21,6.6,85176243,DDU,6.4,PE,HP 5120 48G EI SWITCH WITH 2 S,1,33f0d228-53d1-475e-a882-461aed30c337,OTHER,1760
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,305.43,10,85176243,DDU,9.8,PE,HP A5120 24G POE EI SWITCH,1,0ffa1fda-0d53-49dc-a8b9-1f8385d1321d,OTHER,1761
CANADA,,ADVANTECH WIRELESS TECHNOLOGIES INC,CA,USD,G6 EMS RESIDENCES NO 10 FAIRLANE ST REET WEST FAIRVIEW QUEZON CITY 1118 PHILIPPINES,TELKOMSERV CORPORATION,2025-05-06T00:00:00Z,16590,32.15,85176249,CFR,31,PK,1 1 REDUNDANT 200W GAN C BAND HUBMOUNT OUTDOOR SSPB SYSTEM INCLUDING SSPBMG C200 CRE 200W GAN C BAND HUBMOUNT OUTDOOR SSPB,1,76e027a4-a150-4ce7-b5ff-44a9d736a08f,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1762
SINGAPORE,,CISCO SYSTEMS USA PRIVATE LIMITED,SG,USD,"C103 G/F, STANDFORD TOWER CONDO 187 0 M.H. DEL PILAR ST., BRGY. 699,076 MALATE / MANILA 1004 PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-05-06T00:00:00Z,6808.95,14,85176249,DAP,10,PK,"1 PIECE CATALYST 9500 24X1/10/25G AND 4-PORT 40/100G, ADVANTAGE",1,83151bbf-1868-468e-8c9a-cbaf4be858de,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1763
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,395.18,8.2,85176243,DDU,8,PE,KIT 2910 48G SMO SUPPORT,1,88e299e2-edbf-4a3d-a5f1-01ca84239e50,OTHER,1764
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,765.53,5.3,85176243,DDU,5.1,PE,SU 6400 24P SR 4SFP56 MOD,1,0a77c361-07a5-4380-8333-a5ed64c8ca5c,OTHER,1765
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,557.14,7.1,85176243,DDU,6.9,PE,SU 6200F 48G CL4 4SFP 740W SW,1,2597a936-c0b7-4d85-9778-1cc5906c19c5,OTHER,1766
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,100.01,2.1,85176299,DDU,1.9,PE,SU STACKABLE 4P 10GBE SFP MOD,1,f3b8ad82-f4f5-4949-bc3c-3f3119eb9f17,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1767
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,548.41,6.8,85176243,DDU,6.6,PE,SU 6300M 48G 4SFP56 SWCH,1,270d5760-8f21-4f58-b588-e374e6294eaf,OTHER,1768
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,380.48,6.1,85176243,DDU,5.9,PE,SU 6100 48G CL4 4SFP SWCH,1,e5084f18-3c7a-43c6-85a0-83bee960e3e5,OTHER,1769
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,294.21,6.6,85176243,DDU,6.4,PE,HP 5120 48G EI SWITCH WITH 2 S,1,83d845d2-183c-4c8b-8143-f719122c0888,OTHER,1770
AUSTRALIA,,CISCO SYSTEMS AUSTRALIA PTY LIMITED,AU,USD,"C103 G/F, STANDFORD TOWER CONDO 187 0 M.H. DEL PILAR ST., BRGY. 699,076 MALATE / MANILA 1004 PHILIPPINES",BORDERTRADE MANAGEMENT INC,2025-05-06T00:00:00Z,321.3,2,85176249,DAP,1,PK,1 PIECE MERAKI MX75 ROUTER/SECURITY APPLIANCE,1,8c7540fa-eb75-4591-91a9-69f11ce5d9ad,IN LINE OPTIC FILTER MIRROR CABLE ASSEMBLY,1771
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,293.73,5.7,85176243,DDU,5.5,PE,SP HPE 5130 48G 4SFP EI SWITC,1,98bff0ed-9747-4398-b67e-dd68675353cb,OTHER,1772
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,557.14,7.1,85176243,DDU,6.9,PE,SU 6200F 48G CL4 4SFP 740W SW,1,af9f3dd5-f3d0-410e-9d11-cb96a01c15ae,OTHER,1773
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,244.46,5.2,85176243,DDU,5,PE,SP HPE 5120 48G SI SWITCH,1,a8823f86-8694-4c3c-bfd7-b3370c95ede3,OTHER,1774
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,381.65,8.2,85176243,DDU,8,PE,HP A5500 48G 4SFP HI SWCH W 2,1,161aea25-fd92-42ec-9cb8-51fdefc180e1,OTHER,1775
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,421.76,6.7,85176243,DDU,6.5,PE,2930F 48G POE 4SFP 740W SWCHS,1,74cc945a-7dc3-4428-aa2b-17c7a1f766ed,OTHER,1776
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,213.61,3.5,85176243,DDU,3.3,PE,SU 6100 24G 4SFP SWCH,1,7d51e564-5a3d-46bf-a1e5-f5448e888014,OTHER,1777
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-06T00:00:00Z,231.26,2,85176299,DDU,1.8,PE,HPE X132 10G SFP LC LR TRANSC,1,b0a631d6-75ee-4d8d-80ed-5ff18e5fb3f8,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1778
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-05-05T00:00:00Z,3440.71,155.3,85176299,FOB,141.18,PK,STC MUSICAL INSTRUMENTS,0,5c2f2e03-de26-484a-992b-a76ce21cb003,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1779
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,1060.32,6.8,85176243,DDU,6.6,PE,KIT 6P SW SUPPOR,1,46972c01-19b6-478c-bf5c-2727d306a1fc,OTHER,1780
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,1397.78,6.9,85176243,DDU,6.7,PE,SU 5710 48SFP 6QS2QS28 SWI,1,731a43bf-2580-4dca-8a12-5c7e0cee658d,OTHER,1781
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,1118.08,14.4,85176243,DDU,14.2,PE,SU FF 570032XGT8XG2QSFP SW,1,69ff5757-69a8-4acb-8270-3de1513ef68a,OTHER,1782
MALAYSIA,,GAC CARGO SYSTEMS MALAYSIA SDN BHD,MY,USD,"SHELL PHILIPPINES EXPLORATION B.V., 19F ASIAN STAR BLDG., ASEAN DRIVE, FILINVEST CORPORATE CITY MUNTINLUPA 1781",PRIME ENERGY RESOURCES DEVELOPMENT,2025-05-02T00:00:00Z,24916.56,37.32,85176230,DDP,26.5,CR,CATALYST 9300 48 PORT POE NETWORK ADVANTAGE C9300 CISCO,1,9ab2d527-ac5b-411e-901a-d5ab58672c74,SRA527RC BOX BUILD - BT NETRIX 3 HANDSET WITH BLACK ROCKER SWITCH BUILD LEVEL 4,1783
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,305.3,4.3,85176243,DDU,4.1,PE,SU HPE 5140 48G 4SFP EI SW,1,e9f7cade-7b3b-430d-8c86-79493681de94,OTHER,1784
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,255.01,5.8,85176243,DDU,5.6,PE,SP ARUBA 2930F 24G POE 4SFP,1,19b4b66c-dcfc-42bc-b9c7-9e5f2ca49dde,OTHER,1785
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,1221.66,16,85176243,DDU,15.8,PE,FF 5900CP48XG4QSFP SWITCH,1,6b957895-e8a4-4b29-8ef7-2e2b9fb08948,OTHER,1786
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,265.67,4,85176243,DDU,3.8,PE,SWITCH 253048 SUPPORT KIT,1,f33cdb69-efd2-4f1a-a033-8cef3a0b897e,OTHER,1787
MALAYSIA,,GAC CARGO SYSTEMS MALAYSIA SDN BHD,MY,USD,"SHELL PHILIPPINES EXPLORATION B.V., 19F ASIAN STAR BLDG., ASEAN DRIVE, FILINVEST CORPORATE CITY MUNTINLUPA 1781",PRIME ENERGY RESOURCES DEVELOPMENT,2025-05-02T00:00:00Z,14624,38.37,85176251,DDP,28,CR,ARUBA AP 635 RW CAMPUS AP HP ARUBA R7J24A,0,6b3234e2-c7b0-4cb0-bab7-af2132663c21,ELPAP11 WIRELESS LAN UNIT,1788
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,646.09,6.2,85176243,DDU,6,PE,SU 5140 48G 4SFP 1SLOT HI S,1,aacd3f45-679c-423a-84ec-d3a4c45da5be,OTHER,1789
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-05-02T00:00:00Z,2384.31,114.3,85176299,FOB,103.91,PK,STC MUSICAL INSTRUMENTS,0,7fe1d224-0c39-4c8e-8b38-3974c0188c72,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1790
MALAYSIA,,GAC CARGO SYSTEMS MALAYSIA SDN BHD,MY,USD,"SHELL PHILIPPINES EXPLORATION B.V., 19F ASIAN STAR BLDG., ASEAN DRIVE, FILINVEST CORPORATE CITY MUNTINLUPA 1781",PRIME ENERGY RESOURCES DEVELOPMENT,2025-05-02T00:00:00Z,4450.1,11.13,85176243,DDP,8,CR,CATALYST 9200 COMPACT SWITCH 12 PORTS DATA ONLY ADV C9200CX CISCO,0,9c59bb80-c5f2-403b-9965-6385dbc2ae09,OTHER,1791
MALAYSIA,,GAC CARGO SYSTEMS MALAYSIA SDN BHD,MY,USD,"SHELL PHILIPPINES EXPLORATION B.V., 19F ASIAN STAR BLDG., ASEAN DRIVE, FILINVEST CORPORATE CITY MUNTINLUPA 1781",PRIME ENERGY RESOURCES DEVELOPMENT,2025-05-02T00:00:00Z,188487.18,35.63,85176243,DDP,26,CR,TREND MICRO TIPPING POINT IPS 1100TX SERVER TP 1100TX,1,e4d95eaa-fac7-46d4-96f7-b62bd7336d89,OTHER,1792
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,169.75,3.6,85176243,DDU,3.4,PE,2540 24G 4SFP SWCH SUPPORT KI,1,80ab41f7-4ee5-4447-afa3-db5727c5f4ec,OTHER,1793
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,305.3,4.3,85176243,DDU,4.1,PE,SU HPE 5140 48G 4SFP EI SW,1,f4375f0d-9e26-470c-8773-edca148a31b8,OTHER,1794
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,686.59,4.7,85176299,DDU,4.5,PE,SU6400 24P SFP 4SFP56 V2 MOD,1,9efeb8eb-cb1a-4854-a2c5-96b83ef522f2,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1795
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,739.66,9,85176243,DDU,8.8,PE,SU 381048G W1 SLT SWCH,1,976e3986-8921-4d3d-9d47-2bffe6d20ff3,OTHER,1796
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,222.48,2.9,85176243,DDU,2.7,PE,HP 181048G SWITCH,1,11bbc604-b5df-4274-943c-c0ecb278cab5,OTHER,1797
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,265.67,4,85176243,DDU,3.8,PE,SWITCH 253048 SUPPORT KIT,1,ae2d32a5-6776-4ed1-854f-c65644f2d11c,OTHER,1798
MALAYSIA,,GAC CARGO SYSTEMS MALAYSIA SDN BHD,MY,USD,"SHELL PHILIPPINES EXPLORATION B.V., 19F ASIAN STAR BLDG., ASEAN DRIVE, FILINVEST CORPORATE CITY MUNTINLUPA 1781",PRIME ENERGY RESOURCES DEVELOPMENT,2025-05-02T00:00:00Z,6175.9,13.63,85176269,DDP,9.8,CR,CATALYST 9200 COMPACT SWITCH 8 PORT POE 240W ADV C9200CX,0,488a5f86-c4c4-44c4-a2ab-4dbacad8cd58,70063241011082L -- 1RU SPLICE PATCH DRAWER 96 WAY LC-APC LOADED LH,1799
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,55.08,2.7,85176243,DDU,2.5,PE,SU 18208GPOE 65W SWITCH,1,59ff1694-2f9d-4f92-9fb7-a092b0ebc164,OTHER,1800
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,877.79,7.2,85176243,DDU,7,PE,SU 5520 48G 4SFP HI SWCH,1,58a0f3b7-0b8b-4351-b1d1-731664ea697f,OTHER,1801
CHINA,,COSCO SHIPPING E GLOBAL SUPPLY,CN,USD,UNIT B BLK 23 LOT 19 AND 20 PHASE 2 CITIHOMES SUBD MOLINO IV BACOORCAVITE 4102PHILIPPINES,LOCAS CONSUMER GOODS TRADING,2025-05-02T00:00:00Z,2014.44,99.38,85176259,FOB,90.35,PK,STC MUSICAL INSTRUMENTS,0,6de27de5-70bb-44e6-aac1-1c1a6a2a746c,SFP COPPER PATCH CBL 10G 5M PASSV W,1802
HONG KONG,,CISCO SYSTEMS INC,HK,USD,U 6 AND 7 9F WILCON IT HUB 2251 CHI NO ROCES AVE BANGKAL NCR 4TH DIST. MAKATI CITY 1233 PHILIPPINES,WESTCON GROUP PHILIPPINES,2025-05-02T00:00:00Z,1732.28,12.22,85176299,DAP,10,NE,C8200L 1N 4T CISCO CATALYST 8200L WITH 1 NIM SLOT AND CISCO CATALYST 8200L WITH 1 NIM SLOT AND MEM C8200 4GB ACCESSORY CISCO CATALYST 8200 EDGE 4GB MEMORY CISCO CATALYST 8200 EDGE 4GB MEMORY C RFID 1R ACCESSORY RFID 1RU FOR CISCO 8200 8300 850,1,03d9846a-880f-41c7-b02d-1f7f1a9467df,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1803
MALAYSIA,,GAC CARGO SYSTEMS MALAYSIA SDN BHD,MY,USD,"SHELL PHILIPPINES EXPLORATION B.V., 19F ASIAN STAR BLDG., ASEAN DRIVE, FILINVEST CORPORATE CITY MUNTINLUPA 1781",PRIME ENERGY RESOURCES DEVELOPMENT,2025-05-02T00:00:00Z,8226,21.6,85176251,DDP,15.75,CR,ARUBA AP 635 RW CAMPUS AP HP ARUBA R7J24A,0,b5a1fbd9-7f93-4d37-a333-03da15711984,ELPAP11 WIRELESS LAN UNIT,1804
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,686.65,5.3,85176299,DDU,5.1,PE,ARUBA CLEARPASS C1000 S1200 R,1,c19a6d95-e188-4186-839e-f405fd929a88,"PARTS OF SUBMARINE CABLE SYSTEM BRC2 OPTICAL COMPOUND MODULE PART NO. G3259923549N671 SN N6711609009 FOR REPAIR, TO BE RETURNED AFTER",1805
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,877.79,7.2,85176243,DDU,7,PE,SU 5520 48G 4SFP HI SWCH,1,934356e3-d5c8-4857-b78f-b32a65693239,OTHER,1806
SINGAPORE,,HEWLETT PACKARD ASIA PACIFIC PRIVATE LIMITED,SG,USD,CORPORATION/25F TWENTY-FIVE SEVEN M CKINLEY 25TH ST. COR. 7TH AVE. BGC TAGUIG 1630 PHILIPPINES,HEWLETT PACKARD PHILIPPINES CORP,2025-05-02T00:00:00Z,154,4.9,85176243,DDU,4.7,PE,24 PRT MANAGED 10100 SWTCH,1,288cc43e-1f7e-405b-81c3-03d76dd84e7a,OTHER,1807
MALAYSIA,,GAC CARGO SYSTEMS MALAYSIA SDN BHD,MY,USD,"SHELL PHILIPPINES EXPLORATION B.V., 19F ASIAN STAR BLDG., ASEAN DRIVE, FILINVEST CORPORATE CITY MUNTINLUPA 1781",PRIME ENERGY RESOURCES DEVELOPMENT,2025-05-02T00:00:00Z,6175.9,14.62,85176269,DDP,9.8,CR,CATALYST 9200 COMPACT SWITCH 8 PORT POE 240W ADV C9200CX CISCO,1,3f7d9400-2ef2-47f2-88fe-aba70310979c,70063241011082L -- 1RU SPLICE PATCH DRAWER 96 WAY LC-APC LOADED LH,1808
